end,mid,lambda,cdfMid,cdfEnd,pdfStart,pdfEnd
25,6,6.669770869,0.499979245,0.999999989,0.001268689,3.27705E-08
26,6,6.669770869,0.499979245,0.999999997,0.001268689,8.40659E-09
27,6,6.669770869,0.499979245,0.999999999,0.001268689,2.07667E-09
28,6,6.669770869,0.499979245,1,0.001268689,4.94675E-10
29,6,6.669770869,0.499979245,1,0.001268689,1.13771E-10
30,6,6.669770869,0.499979245,1,0.001268689,2.52943E-11
11,7,7.46231653,0.530165322,0.922944576,0.000574324,0.05749257
12,7,7.585701863,0.512122277,0.954118404,0.000507658,0.038475459
13,7,7.641753459,0.503980253,0.975285657,0.000479986,0.023359181
14,7,7.661700263,0.501091865,0.987779574,0.000470507,0.012963125
15,7,7.667475337,0.500256531,0.994362535,0.000467797,0.006658003
16,7,7.66889562,0.500051159,0.997548629,0.000467133,0.003195557
17,7,7.669200617,0.500007059,0.998989742,0.000466991,0.001442088
18,7,7.669258669,0.499998666,0.999604132,0.000466964,0.000614474
19,7,7.66926855,0.499997237,0.999852159,0.000466959,0.000248033
20,7,7.669270064,0.499997018,0.99994727,0.000466959,9.51118E-05
21,7,7.669270274,0.499996988,0.999982005,0.000466958,3.47352E-05
22,7,7.669270301,0.499996984,0.999994114,0.000466958,1.21088E-05
23,7,7.669270304,0.499996984,0.999998152,0.000466958,4.03763E-06
24,7,7.669270304,0.499996984,0.999999442,0.000466958,1.29024E-06
25,7,7.669270304,0.499996984,0.999999838,0.000466958,3.95807E-07
26,7,7.669270304,0.499996984,0.999999955,0.000466958,1.16752E-07
27,7,7.669270304,0.499996984,0.999999988,0.000466958,3.31631E-08
28,7,7.669270304,0.499996984,0.999999997,0.000466958,9.08345E-09
29,7,7.669270304,0.499996984,0.999999999,0.000466958,2.40219E-09
30,7,7.669270304,0.499996984,1,0.000466958,6.14101E-10
12,8,8.407086217,0.535914352,0.914589514,0.000223279,0.05811094
13,8,8.552769289,0.51586047,0.946474969,0.00019301,0.040615052
14,8,8.626161817,0.505826036,0.969423254,0.000179352,0.025986248
15,8,8.655685774,0.501804164,0.983921316,0.000174134,0.015272356
16,8,8.665395733,0.50048338,0.992102806,0.000172451,0.008330312
17,8,8.668110643,0.500114263,0.996337466,0.000171984,0.004257302
18,8,8.668775205,0.500023922,0.998386256,0.000171869,0.002051621
19,8,8.668920027,0.500004235,0.999322175,0.000171845,0.000936216
20,8,8.668948394,0.500000379,0.999727963,0.00017184,0.000405814
21,8,8.66895342,0.499999696,0.999895485,0.000171839,0.000167524
22,8,8.66895423,0.499999586,0.999961497,0.000171839,6.60119E-05
23,8,8.668954349,0.49999957,0.999986377,0.000171839,2.48806E-05
24,8,8.668954365,0.499999568,0.999995365,0.000171839,8.98704E-06
25,8,8.668954367,0.499999567,0.999998481,0.000171839,3.11633E-06
26,8,8.668954368,0.499999567,0.99999952,0.000171839,1.03905E-06
27,8,8.668954368,0.499999567,0.999999854,0.000171839,3.3361E-07
28,8,8.668954368,0.499999567,0.999999957,0.000171839,1.03288E-07
29,8,8.668954368,0.499999567,0.999999988,0.000171839,3.08757E-08
30,8,8.668954368,0.499999567,0.999999997,0.000171839,8.922E-09
